天安门东-天安门西,"[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60, 273, 1108, 3208, 7076, 10948, 9851, 6138, 4510, 3544, 3104, 3010, 2872, 2803, 2750, 2867, 2992, 3158, 3054, 3129, 3106, 3250, 3845, 4834, 7258, 10505, 12381, 10738, 6432, 3967, 2853, 2560, 2334, 1970, 1437, 987, 269]",天安门东,116.3981,39.9062,天安门西,116.3866,39.9058,Line1
天安门东-王府井,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 103, 463, 1168, 3148, 7364, 13919, 18058, 11234, 6932, 4290, 3219, 2915, 2776, 2679, 2835, 2967, 3155, 3025, 3092, 3172, 3415, 3503, 4120, 4817, 6909, 9106, 9230, 7712, 5249, 3279, 2543, 2409, 2037, 1719, 1679, 1697, 535]",天安门东,116.3981,39.9062,王府井,116.4074,39.9066,Line1
王府井-天安门东,"[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 87, 332, 1181, 3299, 7243, 11062, 10025, 6370, 4764, 3812, 3325, 3120, 2918, 2850, 2789, 2846, 3042, 3166, 3049, 3054, 2996, 3095, 3676, 4525, 6929, 10217, 12197, 10633, 6390, 3930, 2823, 2533, 2315, 1952, 1422, 984, 267]",王府井,116.4074,39.9066,天安门东,116.3981,39.9062,Line1
王府井-东单,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 91, 439, 1099, 2852, 6683, 12791, 16250, 10286, 6345, 3976, 2945, 2649, 2596, 2560, 2713, 2852, 3125, 2974, 3009, 3221, 3471, 3676, 4253, 5051, 7262, 9557, 9788, 8372, 5633, 3614, 2852, 2766, 2463, 2078, 2135, 1842, 577]",王府井,116.4074,39.9066,东单,116.4122,39.9065,Line1
东单-王府井,"[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 89, 356, 1239, 3463, 7601, 11795, 11291, 7212, 5234, 4099, 3575, 3317, 3043, 2990, 2857, 2887, 3042, 3254, 3115, 2940, 2906, 2891, 3382, 4166, 6271, 9523, 11241, 9879, 5882, 3542, 2465, 2097, 1883, 1530, 1031, 853, 241]",东单,116.4122,39.9065,王府井,116.4074,39.9066,Line1
东单-建国门,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 81, 379, 929, 2281, 5748, 11884, 16385, 10756, 6601, 3991, 2874, 2575, 2588, 2482, 2554, 2708, 2888, 2749, 2948, 3041, 3262, 3449, 3964, 4820, 6990, 9278, 9672, 8488, 5771, 3626, 2807, 2557, 2259, 1901, 1858, 1524, 475]",东单,116.4122,39.9065,建国门,116.431,39.907,Line1
建国门-东单,"[14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73, 351, 1299, 3465, 7526, 11927, 11599, 7337, 5223, 3932, 3248, 3059, 2772, 2800, 2664, 2739, 2827, 2975, 2827, 2734, 2633, 2598, 3035, 3744, 5675, 8831, 11021, 10256, 6275, 3693, 2479, 2164, 1864, 1538, 1041, 852, 238]",建国门,116.431,39.907,东单,116.4122,39.9065,Line1
建国门-永安里,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 505, 1042, 2207, 5712, 12119, 17075, 11457, 7120, 4366, 3165, 2920, 2914, 2799, 2862, 3024, 3253, 3176, 3260, 3371, 3681, 3953, 4435, 5642, 8646, 11710, 12534, 11242, 7455, 4688, 3582, 3153, 2786, 2343, 2159, 1634, 466]",建国门,116.431,39.907,永安里,116.4456,39.9079,Line1
永安里-建国门,"[14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 87, 478, 1746, 4381, 9815, 16441, 17264, 10763, 7306, 5006, 3970, 3592, 3244, 3379, 3172, 3319, 3367, 3381, 3311, 3146, 2970, 2991, 3332, 4052, 6211, 9407, 11876, 10867, 6930, 4047, 2784, 2399, 2152, 1688, 1151, 897, 215]",永安里,116.4456,39.9079,建国门,116.431,39.907,Line1
永安里-国贸,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 489, 955, 1896, 4839, 9300, 13276, 9448, 6117, 3833, 2874, 2742, 2720, 2640, 2722, 2847, 3079, 2995, 3152, 3262, 3618, 3939, 4569, 5801, 9036, 12539, 13632, 12337, 8016, 5040, 3822, 3397, 2964, 2431, 2225, 1671, 476]",永安里,116.4456,39.9079,国贸,116.4562,39.9072,Line1
